,BGN,BGNx3,Base,G,G&I,I,node_name,node_id,neighborhood,historic_stream
54,-1.4371601178564397e-07,-1.0754673648860624e-07,0.0,-0.00047480843156158525,-0.003079877031910788,-0.0026184900146870027,J460-S_depth,J460-S,Orangeville,Harris Creek
55,-2.330094539537697e-08,-2.8178290831237796e-07,0.0,-0.0009002284090000034,-0.014088203311807712,-0.01318549628154031,J461-S_depth,J461-S,Baltimore Highlands,Harris Creek
56,-6.539034605457239e-09,-1.1641599073630715e-09,0.0,-0.00030465576778050674,-0.0003046583103221978,-6.536440499971263e-09,J46-S_depth,J46-S,Locust Point,"Southside, Drains to Harbor"
57,-1.6760734788956455e-07,-1.2780535990630781e-07,0.0,-0.0010295862477204265,-0.0006959131120116147,0.0003270810537734925,J471-S_depth,J471-S,Orangeville,Harris Creek
58,-5.128706440094e-08,1.6554466210211283e-05,0.0,-0.0004843148440401013,-0.0003887148167605048,7.649174006779669e-05,J480-S_depth,J480-S,McElderry Park,Harris Creek
59,4.5367429329923326e-07,1.1577851365962566e-06,0.0,-0.0015192308715941127,-0.03568301213931241,-0.034154391958364505,J484-S_depth,J484-S,Baltimore Highlands,Harris Creek
60,2.436791384785586e-07,-3.1431438080042895e-07,0.0,-0.0010468144928604817,-0.019434423809716106,-0.018384807492267286,J491-S_depth,J491-S,Kresson,Harris Creek
61,-1.569520464012042e-07,-9.389790259217712e-08,0.0,-0.00019030256667819379,-0.0001869663711890901,3.629332390397977e-06,J492-S_depth,J492-S,Baltimore Highlands,Harris Creek
62,-1.616813993937649e-07,-0.01242477537744649,0.0,-0.012711393537374494,-0.012710848184998291,9.464221430027786e-07,J49-S_depth,J49-S,Washington Hill,Canal Street Creek
63,1.489390142994651e-06,6.998549073877758e-07,0.0,-0.0005281936325023107,-0.02563372124229682,-0.024996911466544314,J4-S_depth,J4-S,Canton,"Northside, Drains to Harbor"
64,8.512262619775335e-08,9.961121211210511e-08,0.0,-0.00043225914202188465,0.0009170640125562013,0.001357629404189209,J506-S_depth,J506-S,Baltimore Highlands,Harris Creek
65,3.133260101928492e-07,-0.00010462846676778659,0.0,-0.0018818212749172059,-0.04747667742652789,-0.04496536310660698,J507-S_depth,J507-S,Patterson Park,Harris Creek
66,-3.3981841784935796e-09,-0.016342442740561985,0.0,-0.01670112505088668,-0.01829631808903219,-0.0018156847940491994,J50-S_depth,J50-S,Washington Hill,Canal Street Creek
67,1.1351111255941682e-06,-8.565971345447787e-05,0.0,-0.0014306699580173832,-0.034583425265730605,-0.03557298353249799,J512-S_depth,J512-S,Patterson Park,Harris Creek
68,-2.1317200749049192e-07,-0.004264784492427176,0.0,-0.004921462498747697,-0.02203550831497378,-0.018457482912863588,J534-S_depth,J534-S,Patterson Park,Harris Creek
69,-8.703104792395777e-09,1.7663566165282418e-09,0.0,-0.0011112572674151777,-0.03350477149500147,-0.032440064240169875,J539-S_depth,J539-S,Canton,"Northside, Drains to Harbor"
70,-7.445668290251284e-08,-8.656248601246475e-08,0.0,-0.00035160877452561357,-0.0002267442466444003,0.00012745120483559358,J541-S_depth,J541-S,Canton Industrial Area,"Northside, Drains to Harbor"
71,-7.239867588770821e-08,2.2765041129968466e-08,0.0,-0.0008510799434846006,0.0009251323005216028,0.0017898964303422193,J548-S_depth,J548-S,Canton,"Northside, Drains to Harbor"
72,5.378253986054737e-07,5.592607232873803e-07,0.0,-0.0012207297413669993,-0.04917187838909459,-0.04790450958260331,J556-S_depth,J556-S,Canton,Harris Creek
73,-6.224332760318418e-08,4.137002732051975e-08,0.0,-0.00039314762084188826,-0.002835195611367386,-0.0024380526006552994,J567-S_depth,J567-S,Berea,Armistead Creek
74,-4.0087779318298544e-08,-6.892116322099184e-10,0.0,-0.0007777498930661153,-0.024230297783034205,-0.023464133241734297,J568-S_depth,J568-S,Berea,Armistead Creek
