,node_name,BGN,BGNx3,Base,G,G&I,I,node_id,neighborhood,historic_stream
88,J632-S_depth,0.12402926880797,0.1240292742428846,0.124029285609117,0.1237272537290762,0.1237774988482967,0.124077603448067,J632-S,Eager Park,Canal Street Creek
89,J637-S_depth,0.2592495073080857,0.2505513898748016,0.2629803824889666,0.2490282777564282,0.1965476481831946,0.2045886793387602,J637-S,Eager Park,Canal Street Creek
90,J640-S_depth,0.2364130043814901,0.2269516494738984,0.241325841320202,0.2251949595832778,0.1695995311661706,0.1755950142543524,J640-S,Eager Park,Canal Street Creek
91,J659-S_depth,0.1915175841660423,0.1915175834139136,0.1915175833987055,0.1909696020414061,0.190956601529613,0.1915047940232135,J659-S,Baltimore Highlands,Harris Creek
92,J672-S_depth,0.1812015314917967,0.1810964001649404,0.1812273279135196,0.1806016728062389,0.1723990078376543,0.172959120347929,J672-S,Canton,Harris Creek
93,J675-S_depth,0.1861088964273015,0.1861089312053465,0.1861087641264323,0.185593572902889,0.1858378557300543,0.1863541089872984,J675-S,Canton,Harris Creek
94,J686-S_depth,0.1264721643790093,0.1264721666717807,0.1264721660899681,0.1261225842442027,0.1274203941290231,0.1276501202612693,J686-S,Canton,Harris Creek
95,J694-S_depth,0.0234548500747881,0.0235511587407323,0.0234542326409476,0.0235607256363038,0.0237826442621392,0.0236795821047113,J694-S,Canton,Harris Creek
96,J695-S_depth,0.1769937278100211,0.1768445370831398,0.1770311033918728,0.1763098902489218,0.1555686542651689,0.1560964025160253,J695-S,Canton,Harris Creek
97,J712-S_depth,0.1230898798594733,0.1163263492521217,0.1230966588948535,0.1160486504134428,0.1163089974976224,0.1233643618494666,J712-S,Patterson Park,Harris Creek
98,J714-S_depth,0.1828574883693947,0.1828575629115657,0.1828575194926844,0.1823243811658363,0.1824126850777231,0.1829463359646571,J714-S,Upper Fells Point,"Northside, Drains to Harbor"
99,J71-S_depth,0.3285183561398727,0.3285356004480998,0.328527236679766,0.3267873033880276,0.2992487463151603,0.3008725079526724,J71-S,Federal Hill,"Southside, Drains to Harbor"
100,J722-S_depth,0.0943269276530329,0.0943263918157033,0.0943270371059279,0.094326379755438,0.0945197175026868,0.0945198340536607,J722-S,Fells Point,"Northside, Drains to Harbor"
101,J72-S_depth,0.1041599419990479,0.1041599429636727,0.1041599435100611,0.1039386559025298,0.1039401615446164,0.1041599420077208,J72-S,Federal Hill,"Southside, Drains to Harbor"
102,J732-S_depth,0.2841047491058348,0.2841042438297042,0.2841047825482702,0.2831147257257107,0.2511409025919173,0.2521668782094243,J732-S,Fells Point,"Northside, Drains to Harbor"
103,J733-S_depth,0.1350075163163784,0.1350075192514494,0.1350075197979941,0.1346307209606338,0.1346350705913823,0.1350119564969797,J733-S,Canton,"Northside, Drains to Harbor"
104,J748-S_depth,0.1463720089663333,0.1457797562791732,0.1469198084897151,0.1448900144773502,0.1007991906702899,0.10177665261295,J748-S,Washington Hill,Canal Street Creek
105,J749-S_depth,0.1707913556633183,0.1553643592890276,0.1707945701081514,0.1545646541816452,0.1381477166326293,0.1549126808449946,J749-S,Fells Point,Canal Street Creek
106,J751-S_depth,0.1211949417965949,0.1211949455071934,0.1211949476512802,0.1208909934952957,0.1208909882248249,0.1211949418479007,J751-S,Fells Point,"Northside, Drains to Harbor"
107,J756-S_depth,0.2099888165654685,0.2099888063314768,0.2099888302393013,0.2093823723600383,0.2124920361804932,0.2130354052107647,J756-S,Upper Fells Point,"Northside, Drains to Harbor"
108,J758-S_depth,0.1359942977541559,0.1359941999375375,0.1359942312108404,0.1356267095502581,0.1338405891408565,0.1341989230020719,J758-S,Fells Point,"Northside, Drains to Harbor"
109,J760-S_depth,0.1017945193070676,0.1017946211693568,0.1017946221600633,0.10179428676027,0.0990212899966232,0.0990207461515766,J760-S,Fells Point,"Northside, Drains to Harbor"
110,J761-S_depth,0.3811735694627242,0.3517101774642865,0.3811748916613751,0.3499733724886041,0.2976955313658573,0.3250180790373286,J761-S,Fells Point,Canal Street Creek
111,J762-S_depth,0.1011699686910682,0.1011699277631108,0.1011701133988834,0.1009710537144629,0.1009766916452163,0.1011757524618238,J762-S,Canton Industrial Area,"Northside, Drains to Harbor"
112,J764-S_depth,0.1458516018821501,0.1458515705845851,0.1458516346522296,0.1454136530117589,0.1390213655275477,0.139389799913343,J764-S,Fells Point,"Northside, Drains to Harbor"
113,J765-S_depth,0.1594893259798591,0.159496647711178,0.159495733754842,0.159496685056068,0.1285864859990632,0.1285831170808812,J765-S,Fells Point,"Northside, Drains to Harbor"
114,J772-S_depth,0.2027406980225325,0.2027407308688284,0.2027407766283334,0.2021679726779526,0.194060530367165,0.1946079476743184,J772-S,Canton,"Northside, Drains to Harbor"
115,J782-S_depth,0.1428479391168304,0.1425577571030356,0.1429213716744934,0.1421731237367768,0.1425928125219318,0.1435819435935471,J782-S,Patterson Park,Harris Creek
116,J787-S_depth,0.1427605473600629,0.1427605673377102,0.1427605762603704,0.1424166056974904,0.1424173096226239,0.142761387515725,J787-S,Berea,Armistead Creek
117,J789-S_depth,0.1548795133416624,0.1539399986063132,0.155116860673264,0.1533156827313501,0.1280534954102186,0.128639089222774,J789-S,Dunbar-Broadway,Canal Street Creek
118,J78-S_depth,0.1265214203838642,0.1265214223950146,0.1265214231643893,0.1261921762708362,0.1261928595779929,0.1265221222698695,J78-S,Federal Hill,"Southside, Drains to Harbor"
119,J792-S_depth,0.2627392771498023,0.2627657094389084,0.2627334719184783,0.2619978710223964,0.2639384329069222,0.2646794078809232,J792-S,Canton,"Northside, Drains to Harbor"
120,J799-S_depth,0.1731683191925852,0.1731685400239415,0.1731685964521682,0.1726650705117495,0.1300936685940132,0.131015534099694,J799-S,Fells Point,"Northside, Drains to Harbor"
121,J7-S_depth,0.2771905351021207,0.2771905364571894,0.277190526960399,0.2764221345793467,0.2651717220883975,0.2659583279915982,J7-S,Canton Industrial Area,"Northside, Drains to Harbor"
122,J801-S_depth,0.1852582587882165,0.1852580567037936,0.1858414325777881,0.184720343028809,0.1659009068734903,0.1668167871682066,J801-S,Broadway East,Canal Street Creek
123,J80-S_depth,0.1170372340543308,0.1170423386049654,0.1170403602258404,0.1164889900549561,0.1100235513890778,0.1105556303021645,J80-S,Federal Hill,"Southside, Drains to Harbor"
124,J88-S_depth,0.3408197708704975,0.3408197986982844,0.3408197902452841,0.3398270616457089,0.3292032800839974,0.3302076339121858,J88-S,Federal Hill,"Southside, Drains to Harbor"
125,J8-S_depth,0.2520675083273739,0.2520669942478539,0.2520675243344139,0.2514453271779017,0.2474247927136731,0.2480516221134738,J8-S,Canton Industrial Area,"Northside, Drains to Harbor"
