,node_name,BGN,BGNx3,Base,G,G&I,I,node_id,neighborhood
53,J45-S_flow,2.0741563935031038,2.073715810364173,2.0739335814351323,2.0613500560675884,2.0615679213972933,2.0741563935031038,J45-S,"('Locust Point', 'Southside, Drains to Harbor')"
54,J460-S_flow,5.306665774821911,5.306666869184534,5.306670424350288,5.27273802993156,5.078036122034691,5.110474062169804,J460-S,"('Orangeville', 'Harris Creek')"
55,J461-S_flow,7.503109649669888,7.503112227432651,7.503118850685054,7.452417337747596,7.266078023123518,7.315339375783109,J461-S,"('Baltimore Highlands', 'Harris Creek')"
56,J46-S_flow,2.5198924948532597,2.519656451314188,2.519773122720228,2.502926798817504,2.503042462305443,2.5198924948532597,J46-S,"('Locust Point', 'Southside, Drains to Harbor')"
57,J471-S_flow,4.8345228896459815,4.833264503762556,4.833886497700359,4.805485083672626,4.806108130362301,4.8345228896459815,J471-S,"('Orangeville', 'Harris Creek')"
58,J480-S_flow,5.008975100277407,5.008250963713714,5.008608889337873,4.976591762768707,4.97694818954915,5.008975100277407,J480-S,"('McElderry Park', 'Harris Creek')"
59,J484-S_flow,11.747703808811588,11.747659563435809,11.747684418790548,11.653445099103823,10.251952966561076,10.33998359845744,J484-S,"('Baltimore Highlands', 'Harris Creek')"
60,J491-S_flow,12.009590151368874,12.009573457167413,12.009591579545583,11.920250146068623,11.093949142433514,11.18014026522457,J491-S,"('Kresson', 'Harris Creek')"
61,J492-S_flow,2.121384732916404,2.1220390849051047,2.1221914340322456,2.1099998115020866,2.110002288341573,2.121362255176334,J492-S,"('Baltimore Highlands', 'Harris Creek')"
62,J49-S_flow,1.7627893886360215,1.1891812935634931,1.7633766653459753,1.1784845181845678,1.1784846296895042,1.7627730248886857,J49-S,"('Washington Hill', 'Canal Street Creek')"
63,J4-S_flow,1.3911465316053209,1.391229434020207,1.3912500103792993,1.381842217029104,1.382157293737047,1.3914510901264143,J4-S,"('Canton', 'Northside, Drains to Harbor')"
