,node_name,BGN,BGNx3,Base,I,UG+I,V,V&I,node_id,neighborhood,historic_stream
38,J338-S_depth,0.2203706956348355,0.2046148038218374,0.2231544074600258,0.1699857715042767,0.1697915844448932,0.2123115179515384,0.1616539217249835,J338-S,Eager Park,Canal Street Creek
39,J33-S_depth,0.286722935128476,0.2867229401432925,0.2867230504042916,0.2608813706779412,0.260881357859609,0.2867229367402529,0.2608813674500095,J33-S,Locust Point,"Southside, Drains to Harbor"
40,J34-S_depth,0.1206575317080766,0.1206575317082102,0.1206575317065118,0.1206578469563017,0.1206578469569686,0.1206575317078053,0.1206578469562851,J34-S,Locust Point,"Southside, Drains to Harbor"
41,J361-S_depth,0.2086248036336026,0.2048703177865142,0.2091720926265947,0.1784878265909253,0.1784613320600651,0.2051820711469097,0.1768794133759961,J361-S,Eager Park,Canal Street Creek
42,J366-S_depth,0.1354772052230083,0.1255553643072038,0.1370008694139957,0.0844903522908213,0.0840378830596087,0.1303640342625965,0.079031009667475,J366-S,Eager Park,Canal Street Creek
43,J385-S_depth,0.2747386309110878,0.2686663839090837,0.2801559332722533,0.3009472016235124,0.2965321686086503,0.2693309943035385,0.2884831616462801,J385-S,Broadway East,Harris Creek
44,J3-S_depth,0.1675922158361845,0.1675921829446593,0.167592291766213,0.1249590586280359,0.1249589069624248,0.165172076767405,0.1229860363547839,J3-S,Fells Point,"Northside, Drains to Harbor"
45,J413-S_depth,0.154037584992177,0.1540447597876072,0.1552572644469362,0.1554981379928928,0.1555094102286374,0.1542770489104579,0.1545556508468244,J413-S,Broadway East,Harris Creek
46,J421-S_depth,0.21784626438228,0.2152660476813038,0.221733601358567,0.2024589995716305,0.1968357133541971,0.2147540027030229,0.1960948807889808,J421-S,McElderry Park,Harris Creek
47,J42-S_depth,0.0987122833584615,0.098712283358208,0.0987122833526427,0.0987135126382165,0.0987135126388569,0.0987122833583803,0.0987135126383925,J42-S,Locust Point,"Southside, Drains to Harbor"
48,J433-S_depth,0.1475576069765108,0.1475574839898835,0.1475577469245043,0.1489501183417087,0.1489501207170247,0.1474094116214221,0.1488009325758285,J433-S,Madison-Eastend,Harris Creek
49,J437-S_depth,0.1305485096574132,0.1178136590524578,0.1304475545681303,0.1283873148462526,0.1283994915193711,0.1305356726971469,0.12831544694104,J437-S,Patterson Park,Harris Creek
50,J438-S_depth,0.2029712739326719,0.1960455510707769,0.2064247054237977,0.1220833850458668,0.1176442584357175,0.1996440507308251,0.118140303350718,J438-S,McElderry Park,Harris Creek
51,J450-S_depth,0.1182753519346434,0.1182759393347417,0.1182746926324507,0.1126546595440122,0.1126546568687973,0.1181611080304675,0.1125426767483587,J450-S,Madison-Eastend,Harris Creek
52,J456-S_depth,0.1723979926895222,0.1724069764055592,0.1723971553547867,0.1777443695838802,0.1777491981030207,0.1724327036040045,0.1777730300745947,J456-S,Orangeville,Harris Creek
53,J45-S_depth,0.0853532818042628,0.085353272013026,0.0853536972530326,0.0885653369249987,0.0885642088256493,0.0853532849678975,0.0885649951434136,J45-S,Locust Point,"Southside, Drains to Harbor"
54,J460-S_depth,0.1153099615986336,0.1153099440023047,0.115309977083625,0.1085896826668418,0.1085900320120079,0.1147786819645426,0.1080767043234525,J460-S,Orangeville,Harris Creek
55,J461-S_depth,0.1567790604789293,0.156778860924124,0.1567789341284096,0.1315138536502243,0.1315143514813747,0.1563685130415976,0.1311703615389691,J461-S,Baltimore Highlands,Harris Creek
56,J46-S_depth,0.1219895970117796,0.1219895970117795,0.1219895970118277,0.1219895970118265,0.1219895970118267,0.1218449983552184,0.121844998355257,J46-S,Locust Point,"Southside, Drains to Harbor"
57,J471-S_depth,0.2502273758523393,0.2502272131813675,0.2502275239231203,0.2531750865979386,0.2531785361886514,0.2467887633449434,0.2497349624762298,J471-S,Orangeville,Harris Creek
58,J480-S_depth,0.1822013355710382,0.1824141167139342,0.1822013956108465,0.182414535859947,0.1824145060791151,0.1818816399224121,0.1820724688620064,J480-S,McElderry Park,Harris Creek
