,node_name,Base,I,UG+I,V,V&I,node_id,neighborhood,historic_stream
93,J675-S_depth,0.2107139219621846,0.2107458200572448,0.2107139066485323,0.2107139020305576,0.2107458126346794,J675-S,Canton,Harris Creek
94,J686-S_depth,0.1573310881412894,0.1652883768921289,0.1573306049898293,0.1573309758770849,0.1652883718547028,J686-S,Canton,Harris Creek
95,J694-S_depth,0.0211132676909407,0.0214985295708164,0.0211138539775174,0.02111340071503,0.0214989104898875,J694-S,Canton,Harris Creek
96,J695-S_depth,0.1250773278170118,0.0963519774323746,0.1250782952124004,0.1250772942298897,0.0963515823892641,J695-S,Canton,Harris Creek
97,J712-S_depth,0.1384003720669481,0.139055781637813,0.138400087534238,0.1382623864498433,0.1389178812207468,J712-S,Patterson Park,Harris Creek
98,J714-S_depth,0.1861338215155633,0.1899859832067491,0.1861338630724436,0.1861117699957755,0.1899639682848835,J714-S,Upper Fells Point,"Northside, Drains to Harbor"
99,J71-S_depth,0.2816327529258843,0.2462548202761155,0.2816389473446142,0.2810916425976991,0.2461572282205816,J71-S,Federal Hill,"Southside, Drains to Harbor"
100,J722-S_depth,0.0934582656650204,0.0951039003382729,0.0934578306291578,0.0934580996878369,0.0951038901087213,J722-S,Fells Point,"Northside, Drains to Harbor"
101,J72-S_depth,0.1166143313638598,0.1166143371807157,0.1166141947127907,0.1160855614854951,0.116085575778315,J72-S,Federal Hill,"Southside, Drains to Harbor"
102,J732-S_depth,0.2107286420857786,0.1725391135566243,0.2107283624933967,0.2107045723674882,0.1725144982027096,J732-S,Fells Point,"Northside, Drains to Harbor"
103,J733-S_depth,0.1523696575912751,0.1524320617930029,0.1523694151870559,0.1523695791609394,0.1524320319551594,J733-S,Canton,"Northside, Drains to Harbor"
104,J748-S_depth,0.0601629190061014,0.0367652748214232,0.0601624764833672,0.0599633405311385,0.0367454763388717,J748-S,Washington Hill,Canal Street Creek
105,J749-S_depth,0.1685230601363897,0.1540221891654871,0.1685219924683211,0.1683186624843065,0.1538211369191599,J749-S,Fells Point,Canal Street Creek
106,J751-S_depth,0.1231091672995025,0.1239444730383944,0.1231091672994475,0.1231091672994007,0.1239445515489461,J751-S,Fells Point,"Northside, Drains to Harbor"
107,J756-S_depth,0.2146550339256695,0.2238353767333074,0.2146551007838807,0.2124935431687281,0.2214896699690851,J756-S,Upper Fells Point,"Northside, Drains to Harbor"
108,J758-S_depth,0.128618494022269,0.1211469332562627,0.128618351753478,0.1286183136682947,0.1211469719926698,J758-S,Fells Point,"Northside, Drains to Harbor"
109,J760-S_depth,0.091326336657635,0.0835111007302304,0.0913262363944326,0.0913264016462746,0.0835110819288741,J760-S,Fells Point,"Northside, Drains to Harbor"
110,J761-S_depth,0.2482174831331383,0.1766279446848816,0.2482170435966338,0.2479023025604681,0.1764078059767856,J761-S,Fells Point,Canal Street Creek
111,J762-S_depth,0.1081257168255422,0.1081263107587653,0.1081256022966145,0.1080476133633321,0.1080481946550321,J762-S,Canton Industrial Area,"Northside, Drains to Harbor"
112,J764-S_depth,0.1289503849574301,0.1188361956279198,0.1289500319111693,0.1289506785742764,0.1188361853411005,J764-S,Fells Point,"Northside, Drains to Harbor"
113,J765-S_depth,0.0796305790635841,0.0518131659183897,0.0796302868039122,0.0796304368348321,0.0518130922987446,J765-S,Fells Point,"Northside, Drains to Harbor"
114,J772-S_depth,0.2025845123585974,0.1995820534831009,0.2025845123216695,0.1959355524203278,0.1930431858440569,J772-S,Canton,"Northside, Drains to Harbor"
115,J782-S_depth,0.0613527364509878,0.0614717372402131,0.061310611585098,0.0613332577194566,0.0614581262361328,J782-S,Patterson Park,Harris Creek
116,J787-S_depth,0.1365292041609687,0.1389161872723166,0.1365292042549122,0.1362489869286901,0.1386314063434685,J787-S,Berea,Armistead Creek
117,J789-S_depth,0.1067305382723564,0.0813051886285443,0.106730452840673,0.1065310370383734,0.0811273728776239,J789-S,Dunbar-Broadway,Canal Street Creek
118,J78-S_depth,0.1354615628652538,0.1354666737636905,0.1354612079287376,0.1353629137039745,0.1353680084375814,J78-S,Federal Hill,"Southside, Drains to Harbor"
119,J792-S_depth,0.3124796584168434,0.3185362604373254,0.3124747165799074,0.3124788941569099,0.3185363932181662,J792-S,Canton,"Northside, Drains to Harbor"
120,J799-S_depth,0.0759952512691879,0.0457090874237258,0.0759951682811718,0.0759952278720278,0.0457090718717504,J799-S,Fells Point,"Northside, Drains to Harbor"
121,J7-S_depth,0.2984023233066962,0.2955499446511093,0.298402253273363,0.2981811731606089,0.2953278052538973,J7-S,Canton Industrial Area,"Northside, Drains to Harbor"
122,J801-S_depth,0.1101026278835931,0.0785238721495051,0.1101024693599248,0.1079722848568318,0.0764836150974831,J801-S,Broadway East,Canal Street Creek
123,J80-S_depth,0.1022083840353149,0.0955122520480592,0.1022103073988208,0.102025831838996,0.0954627577152631,J80-S,Federal Hill,"Southside, Drains to Harbor"
124,J88-S_depth,0.3140903123982106,0.30762352813158,0.31408935322879,0.3138350102435281,0.3073686669929468,J88-S,Federal Hill,"Southside, Drains to Harbor"
125,J8-S_depth,0.2544807553265487,0.2530584542895746,0.254479074548006,0.2544803415265678,0.2530578445906896,J8-S,Canton Industrial Area,"Northside, Drains to Harbor"
