,BGN,BGNx3,Base,I,UG+I,V,V&I,link_name,link_id,neighborhood
67,-6.591434379994016e-08,-1.0559923998600118e-09,0.0,2.9428187968100032e-05,1.1495477599985857e-08,-5.097887359399849e-06,2.4326116145300053e-05,C650-S_velocity,C650-S,Downtown
68,-9.548065500004574e-08,-1.9503401998879205e-09,0.0,5.49037974267e-05,1.5379944400071427e-08,-3.533862811359997e-05,1.5407051324600003e-05,C659-S_velocity,C659-S,Downtown
69,-2.4442858557700148e-05,-3.6288356232799975e-05,0.0,-5.2919385061400096e-05,-5.6716660241900056e-05,-8.977360754569997e-05,-0.00014684893135030004,C65-S_velocity,C65-S,McElderry Park
70,2.0530501230000588e-07,-1.2099450100036893e-08,0.0,2.6285264550599983e-05,5.836650900006152e-09,-2.099264158300011e-05,4.776425509999804e-06,C677-S_velocity,C677-S,Downtown
71,-4.2236820009360077e-10,-1.6964066000459826e-09,0.0,-0.0002530319869291,-5.11675079997026e-09,-4.038737514450012e-05,-0.0002973618717960001,C681-S_velocity,C681-S,Downtown
72,-2.060790199945317e-09,-4.881711400134964e-09,0.0,-0.0005639187615264002,-1.1162081199871804e-08,-7.139433214980008e-05,-0.0006396967843598999,C685-S_velocity,C685-S,Downtown
73,2.1658478849989095e-07,-3.8526307299989807e-08,0.0,5.848809245109993e-05,1.0192076899898789e-08,-3.634417914900141e-06,5.502418589939991e-05,C687-S_velocity,C687-S,Federal Hill
74,-8.686443070270037e-05,-0.00015248214632160024,0.0,-0.0013505563501996002,-0.00019736729385330014,-0.0002858396445566001,-0.0016551239411960001,C68-S_velocity,C68-S,Patterson Park
75,-1.649416338599997e-05,-6.621617625719999e-05,0.0,-0.00019220842932660001,-3.421985891450001e-05,-4.934690582649999e-05,-0.00019636923922549998,C69-S_velocity,C69-S,McElderry Park
76,-8.167527390003093e-08,-1.2464014000589108e-09,0.0,6.803038224640007e-05,1.450412420007062e-08,-3.0126747397200013e-05,3.749040705410011e-05,C708-S_velocity,C708-S,Federal Hill
77,-2.153989349992086e-08,-3.8346089996886545e-10,0.0,-9.241782309998576e-07,3.3795801001462733e-09,-1.2351271436799975e-05,-1.3417990650999977e-05,C725-S_velocity,C725-S,Federal Hill
78,2.7828080099989716e-07,-1.8969591000003033e-08,0.0,3.9121428800029806e-08,-5.253541400084688e-09,-2.27251768371e-05,-2.2564606571499933e-05,C728-S_velocity,C728-S,Federal Hill
79,3.5328864349997227e-07,-3.41008674002545e-08,0.0,7.804345396600007e-05,-1.9504754100035937e-08,-1.738588588500031e-05,6.044449278999999e-05,C729-S_velocity,C729-S,Federal Hill
80,6.624439018998451e-07,-2.0226682779980049e-07,0.0,-0.0005087000232806994,-2.019358928996573e-07,-3.138938021019985e-05,-0.0005395838065211994,C734-S_velocity,C734-S,Federal Hill
