,link_name,BGN,BGNx3,Base,I,UG+I,V,V&I,link_id,neighborhood
13,C191-S_velocity,120.79685446954495,120.73690255238596,120.79682981275492,89.08216517885856,120.80006710727372,118.51816289301294,87.08492009990265,C191-S,Patterson Park
14,C211-S_velocity,29.749058913795107,25.663692771677205,29.748267116659097,29.760578716575747,29.74730721717364,29.151359182564864,29.16283364001476,C211-S,Patterson Park
15,C21-S_velocity,32.529429972034364,32.52943377650913,32.80454481532978,26.7692854018188,31.47455798033991,31.182271083596216,25.353383226447576,C21-S,Broadway East
16,C226-S_velocity,21.943507443366062,21.943498190199143,21.943509165231564,22.07103042403253,21.943467797684377,21.864293357676665,22.000037384834968,C226-S,Baltimore Highlands
17,C227-S_velocity,56.32832447516168,56.33385130156972,56.334013148157815,50.55516270080301,56.33753403930896,55.54095926511574,49.853052379509904,C227-S,Kresson
18,C229-S_velocity,12.865234607913145,12.865303859469618,12.86984785308808,13.073392955333471,12.86646037607578,12.790596931913896,12.969397434357225,C229-S,Kresson
19,C236-S_velocity,14.124879210905284,14.124874386273742,14.124886335408457,14.087692649298868,14.126333354049576,13.187730748425704,13.151126199624857,C236-S,Orangeville
20,C23-S_velocity,27.185636657516465,27.18562810415388,27.4234038769386,20.03219117123967,26.26664619097976,25.970904854632984,18.83086191352424,C23-S,Broadway East
21,C249-S_velocity,32.13287701213547,32.132861276326366,32.13284732501768,32.12903350390709,32.13285076292677,32.05525961647212,32.0514984465745,C249-S,Madison-Eastend
22,C251-S_velocity,28.0930973770083,28.096993525444287,28.09487170513901,27.00404246435891,28.097440793576958,28.02877744134007,26.93882525642462,C251-S,Madison-Eastend
23,C260-S_velocity,22.03214133767537,22.02861478117677,22.028823463705614,22.03152146304072,22.02882875975914,21.780101235759275,21.78371390105309,C260-S,Baltimore Highlands
24,C26-S_velocity,67.22012366884422,67.22037914937896,72.33850266699491,57.219800915642494,71.31551631486812,66.70215902351798,52.08224274336774,C26-S,Broadway East
25,C274-S_velocity,54.72841940189415,54.7343106764204,54.73445201465898,54.795585837026096,54.73537597181903,53.71844997602512,53.71135449709145,C274-S,Kresson
26,C279-S_velocity,41.95200323078283,41.95203834610669,42.11254542665024,41.43419960472194,41.88469217398001,39.86222750666681,39.83705840113284,C279-S,Broadway East
27,C27-S_velocity,60.63970652382916,60.63778109202485,65.32976523217971,48.52661820020298,64.28840649475299,59.893576722313504,43.79951239631114,C27-S,Broadway East
28,C292-S_velocity,74.21593930121416,74.25053293684617,77.69648797047957,57.59919910587657,72.35080273087692,71.06155853125497,52.64625249775604,C292-S,Broadway East
29,C2-S_velocity,15.699458722029146,15.701133049673722,15.701021843547048,15.705180823102184,15.702107501889774,15.132318821584118,15.137548969576292,C2-S,South Clifton Park
30,C301-S_velocity,87.03338469559306,84.00310795215232,89.84885980070655,104.093647530989,84.55848502751103,82.08654217247958,94.78552654291128,C301-S,Eager Park
31,C314-S_velocity,22.99705160207076,22.99806478591967,22.99808486036681,23.01436984801634,22.99825842122037,22.309856346804374,22.325938833226143,C314-S,Dunbar-Broadway
32,C317-S_velocity,14.055628163446285,14.055482403449048,14.055518330325045,11.39353823244404,14.055305226453129,13.637238382853102,11.024746208905553,C317-S,Dunbar-Broadway
33,C319-S_velocity,7.309951072949032,7.309947769337149,7.309954740143486,4.17048508696411,7.309907814987656,6.98436409388721,3.933069384851733,C319-S,Washington Hill
