,node_name,BGN,BGNx3,Base,I,UG+I,V,V&I,node_id,neighborhood,historic_stream
41,J361-S_depth,0.2187697412410499,0.2128759950021031,0.2196067704966707,0.1870041928576109,0.1869020260023283,0.2141276477916053,0.1847000379325012,J361-S,Eager Park,Canal Street Creek
42,J366-S_depth,0.1461626862047446,0.134263229811913,0.1480157066431458,0.0917892920286064,0.0916302216041056,0.1405027918590305,0.0861223894586255,J366-S,Eager Park,Canal Street Creek
43,J385-S_depth,0.2905105178317766,0.2839216369123704,0.2964170444663278,0.3215824982512093,0.3137690780266042,0.2850185481605722,0.3085968834749997,J385-S,Broadway East,Harris Creek
44,J3-S_depth,0.1541094711536317,0.1541094501880762,0.1541095298108188,0.1148809070935531,0.1148808241951136,0.1519147904068273,0.113246485599873,J3-S,Fells Point,"Northside, Drains to Harbor"
45,J413-S_depth,0.157456322097499,0.1574603460306446,0.1587814036536147,0.1588896280299508,0.158895021320796,0.1577141667715859,0.1578291883293994,J413-S,Broadway East,Harris Creek
46,J421-S_depth,0.2326747643545187,0.2292533011410832,0.2364127926785294,0.21539025534136,0.2088409715600196,0.2291680162636476,0.2087973565712699,J421-S,McElderry Park,Harris Creek
47,J42-S_depth,0.1087961781290657,0.1087961965925954,0.108796216118154,0.1087993152688865,0.108799317551431,0.1087960841793917,0.1087993098776749,J42-S,Locust Point,"Southside, Drains to Harbor"
48,J433-S_depth,0.1548046666624782,0.1548044550817165,0.1548049328813909,0.1562555704012534,0.1562554861288026,0.1546305737098609,0.1560803011323835,J433-S,Madison-Eastend,Harris Creek
49,J437-S_depth,0.1418136384115759,0.1270997242067317,0.1418175257529263,0.1365853064662249,0.1366268546496538,0.1416593823241817,0.1364761339948441,J437-S,Patterson Park,Harris Creek
50,J438-S_depth,0.2213137940992509,0.2123723147076226,0.2262416592866269,0.1323089409691011,0.1269389037390832,0.2164278714580007,0.1273889132541729,J438-S,McElderry Park,Harris Creek
51,J450-S_depth,0.1245411398952515,0.1245420724287314,0.1245399762319441,0.1187522286469464,0.1187527477460484,0.1244092731937052,0.1186232087679436,J450-S,Madison-Eastend,Harris Creek
52,J456-S_depth,0.1780177264201959,0.1780213636370328,0.178014365557455,0.1847264246761924,0.1847313037724635,0.1780921581554194,0.1847779729571166,J456-S,Orangeville,Harris Creek
53,J45-S_depth,0.0930092571614457,0.0930089944542375,0.0930091612817117,0.0962906450065806,0.0962901057277084,0.0930090350548696,0.096290636699331,J45-S,Locust Point,"Southside, Drains to Harbor"
54,J460-S_depth,0.1292190726536749,0.1292202773554969,0.1292191102946997,0.1221227035350391,0.1221225802655401,0.1286718646800656,0.1215925238417778,J460-S,Orangeville,Harris Creek
55,J461-S_depth,0.1692162571100251,0.1692171273529334,0.1692208865237633,0.1415662923067553,0.1415644785715506,0.1687941784630627,0.141205712286841,J461-S,Baltimore Highlands,Harris Creek
56,J46-S_depth,0.1272574883184479,0.1272574925411631,0.1272575293988457,0.1272586790528294,0.1272586860444029,0.1271579917952224,0.1271592560895681,J46-S,Locust Point,"Southside, Drains to Harbor"
57,J471-S_depth,0.2720682377737591,0.2720732385392706,0.2720683918069524,0.2752152723701763,0.2752147319637461,0.2687537811145689,0.2718749481498534,J471-S,Orangeville,Harris Creek
58,J480-S_depth,0.2108325879215191,0.2115810770916895,0.2108334681621582,0.2116617703508376,0.2116596518652332,0.2104955326149659,0.2113233500079958,J480-S,McElderry Park,Harris Creek
59,J484-S_depth,0.2494663090753544,0.2494675075351296,0.2494663341344133,0.2034242344206136,0.2034239996716842,0.2491585987511189,0.2032018958606104,J484-S,Baltimore Highlands,Harris Creek
60,J491-S_depth,0.1892403177197712,0.1892401404331621,0.1892381987047018,0.1533369144697766,0.1533363829047042,0.1889515983140054,0.1531406734474882,J491-S,Kresson,Harris Creek
61,J492-S_depth,0.1010669491048204,0.1010669101496369,0.10106698745077,0.1010671806390151,0.1010671584791791,0.1010669003866216,0.101067179048216,J492-S,Baltimore Highlands,Harris Creek
62,J49-S_depth,0.113049426305696,0.0967641477515139,0.1130494625486468,0.113049518199661,0.1130494928770472,0.112699596975136,0.1126997342123089,J49-S,Washington Hill,Canal Street Creek
63,J4-S_depth,0.1881785456765304,0.1881792848016353,0.1881788001886539,0.1833317584723537,0.1833333376517144,0.1881790576358745,0.1833320126779377,J4-S,Canton,"Northside, Drains to Harbor"
64,J506-S_depth,0.2048042457039338,0.2048040799257474,0.2048037026311525,0.205788587774607,0.2057888199740959,0.2047392784514296,0.2056706074175388,J506-S,Baltimore Highlands,Harris Creek
65,J507-S_depth,0.2602001760482487,0.2598801615308201,0.2601990631844794,0.2030394807686661,0.2030394982191859,0.2599462401135152,0.2029331933001571,J507-S,Patterson Park,Harris Creek
66,J50-S_depth,0.1416591289753221,0.1213537478346401,0.1416592419103907,0.1410824455174036,0.1410821496295891,0.1413932368836452,0.140816807743291,J50-S,Washington Hill,Canal Street Creek
67,J512-S_depth,0.16459636429179,0.1661918260040636,0.1645970605824356,0.1107749202947965,0.1107742155677475,0.164519494550499,0.1107116233999993,J512-S,Patterson Park,Harris Creek
68,J534-S_depth,0.2161555205764365,0.2099872207516395,0.2161570143367169,0.2767852629842887,0.2767728914155307,0.2156124863582073,0.2747268698813486,J534-S,Patterson Park,Harris Creek
69,J539-S_depth,0.3027464981168512,0.302746511079237,0.3027465075607073,0.2895747678293393,0.289574765618268,0.2912865941126678,0.2782275991518537,J539-S,Canton,"Northside, Drains to Harbor"
70,J541-S_depth,0.1619766836572095,0.1619761199766294,0.1619763440372192,0.1620321025054984,0.1620329201050086,0.1241026224909131,0.1620323404974236,J541-S,Canton Industrial Area,"Northside, Drains to Harbor"
71,J548-S_depth,0.3146051128036107,0.3146051128322034,0.3146051128837625,0.315363789732658,0.3153638002641543,0.3039377246600222,0.3046254287813555,J548-S,Canton,"Northside, Drains to Harbor"
72,J556-S_depth,0.2723472666211785,0.2723497747176766,0.2723500788341504,0.2561374793704754,0.2561373264895201,0.2723497104852344,0.25613738861514,J556-S,Canton,Harris Creek
73,J567-S_depth,0.1280886360777728,0.1280886359896594,0.1280886358821202,0.1174663819311671,0.1174663788084944,0.1277745902096676,0.1171693408802302,J567-S,Berea,Armistead Creek
74,J568-S_depth,0.1824064701791992,0.1824069147420171,0.1824062605049614,0.1297647477593448,0.1297654288433819,0.1819364263926302,0.1293815089691811,J568-S,Berea,Armistead Creek
75,J571-S_depth,0.0904189755498057,0.0904188651586799,0.0904192139634949,0.0908036025074446,0.0908016685847255,0.0904190303633934,0.0908153576310518,J571-S,Berea,Armistead Creek
76,J576-S_depth,0.1259328762816881,0.1210075502937312,0.1265683194323601,0.0451652432317312,0.0451170938866862,0.1220304273427133,0.0432857819562581,J576-S,Dunbar-Broadway,Canal Street Creek
77,J578-S_depth,0.1750104518293046,0.1749755941022178,0.175011158427,0.1446375734845144,0.1446373771702461,0.1749487100753533,0.1446417409524239,J578-S,Dunbar-Broadway,Canal Street Creek
78,J586-S_depth,0.0513890428121381,0.051389211332226,0.0513890535338022,0.026405548204363,0.0264055453097818,0.0510188274521828,0.0262277565918209,J586-S,Dunbar-Broadway,Canal Street Creek
79,J587-S_depth,0.2229564584785584,0.2229561953265754,0.2242171189725509,0.2283842176303356,0.2274168519576633,0.2190167123742414,0.2239440308684017,J587-S,Downtown,"Southside, Drains to Harbor"
80,J592-S_depth,0.0978240117945024,0.0978239994617556,0.0978240087218371,0.0786529840346792,0.0786529877880566,0.0974749471623208,0.0783192387331817,J592-S,Dunbar-Broadway,Canal Street Creek
81,J5-S_depth,0.2140568267758485,0.2140575001849648,0.2140577310598959,0.1877687013148835,0.1877698516660457,0.2140572206225555,0.1877688363922975,J5-S,Canton,"Northside, Drains to Harbor"
82,J609-S_depth,0.1308978734626233,0.1308975151322654,0.1308981245419305,0.1325894753390291,0.132588583710028,0.1308965070660235,0.1325874262703343,J609-S,Dunbar-Broadway,Canal Street Creek
83,J60-S_depth,0.1843468154651298,0.184346641004066,0.184347005469439,0.1844400363918983,0.1844399211918892,0.1841175653615339,0.1842108519539514,J60-S,Downtown,"Southside, Drains to Harbor"
84,J619-S_depth,0.2091134074328704,0.2091131865251039,0.2091136327271031,0.2085276715883187,0.2085276385275654,0.2091138387239239,0.2085283104819189,J619-S,Dunbar-Broadway,Canal Street Creek
85,J620-S_depth,0.4809777710038778,0.4716113466658587,0.4902696092794566,0.5087140328215064,0.5006709142728071,0.4727012550024952,0.4915796660969728,J620-S,Broadway East,Harris Creek
86,J624-S_depth,0.4260852903029619,0.417786182377359,0.4343357021338134,0.4551314006797296,0.4473294865497489,0.4186995106866241,0.4405294047594762,J624-S,Broadway East,Harris Creek
87,J62-S_depth,0.2743467369281737,0.274347261803158,0.2743536129979283,0.2493971826791924,0.2493747345547695,0.2738923840582892,0.2489525896271475,J62-S,Downtown,"Southside, Drains to Harbor"
88,J632-S_depth,0.1202714210616347,0.1202714253016139,0.1202714087230278,0.1243846377970129,0.1243846781576844,0.1199806888648977,0.1240787545781628,J632-S,Eager Park,Canal Street Creek
89,J637-S_depth,0.1754793398048819,0.1701594430285387,0.1761447133041931,0.1240990035671128,0.1240375227836742,0.1713790705774518,0.1220451256983976,J637-S,Eager Park,Canal Street Creek
90,J640-S_depth,0.1520830880165002,0.1474766804891531,0.1525487675863049,0.0911913104167035,0.0911241986436141,0.1486088378136844,0.0891493356099629,J640-S,Eager Park,Canal Street Creek
91,J659-S_depth,0.2173540926592797,0.2173540383442149,0.2173541154365204,0.2261939688347868,0.2261939921644228,0.2173076648461065,0.2261325488981505,J659-S,Baltimore Highlands,Harris Creek
92,J672-S_depth,0.1442600042070383,0.1440778020281127,0.1442813282338662,0.1256783228729769,0.125584862433555,0.1442301248299942,0.1256334250989508,J672-S,Canton,Harris Creek
93,J675-S_depth,0.2105495221472232,0.2105495266950589,0.2105495310402451,0.2105851602576232,0.2105851371542634,0.2105495048155597,0.210585150961376,J675-S,Canton,Harris Creek
94,J686-S_depth,0.1578439684215472,0.157843995497595,0.157844161828651,0.1656423871851454,0.1656419352280486,0.157843909565071,0.1656423451076489,J686-S,Canton,Harris Creek
