,BGN,BGNx3,Base,I,UG+I,V,V&I,node_name,node_id,neighborhood
64,0.0006109493343897654,-2.5997844016689697e-05,0.0,-7.539374764808926e-05,7.7993532049625e-05,-0.01777342117628322,-0.017582593398614677,J506-S_flow,J506-S,"('Baltimore Highlands', 'Harris Creek')"
65,-5.46483743448789e-05,0.0001918685099475681,0.0,-2.752126315277181,0.00018233028782432825,-0.20718760383669377,-2.933987959469704,J507-S_flow,J507-S,"('Patterson Park', 'Harris Creek')"
66,0.00042652306625345915,-0.7667332871516992,0.0,-0.09016182608684709,2.583880161965979e-05,-0.11843310828869935,-0.20576853064887635,J50-S_flow,J50-S,"('Washington Hill', 'Canal Street Creek')"
67,-4.7326464631680665e-05,-0.0045458610614890205,0.0,-2.7229514533079424,0.00022163648513640055,-0.21716095401257363,-2.9067030311284903,J512-S_flow,J512-S,"('Patterson Park', 'Harris Creek')"
68,-0.00034844349071594394,0.0007720987302404225,0.0,0.003911511093272146,5.808310112698223e-05,-0.04890732384299756,-0.04492050724055563,J534-S_flow,J534-S,"('Patterson Park', 'Harris Creek')"
69,-0.00038444088402744825,-7.729471772854879e-06,0.0,-0.3519125488626331,6.215151571531408e-05,-0.32022321791440245,-0.6446132227311518,J539-S_flow,J539-S,"('Canton', 'Northside, Drains to Harbor')"
70,0.00039131088357025057,-1.66515269603984e-05,0.0,-4.828942818546622e-05,4.995458088163929e-05,-0.012968357203306802,-0.01284395085103629,J541-S_flow,J541-S,"('Canton Industrial Area', 'Northside, Drains to Harbor')"
71,-0.0008601406827946079,-1.4178143121768016e-05,0.0,-0.00010869909727606597,0.00015123352664492273,-0.4135840572802607,-0.4135362034058465,J548-S_flow,J548-S,"('Canton', 'Northside, Drains to Harbor')"
72,-0.00023433621454804765,-5.392387887326322e-06,0.0,0.0072356920674829794,3.286470053742718e-05,-0.00010741313628015448,0.0071738187172072365,J556-S_flow,J556-S,"('Canton', 'Harris Creek')"
73,-0.00022021607693156753,-3.667895802639265e-06,0.0,-2.779995585600048e-05,3.857221955172463e-05,-0.016514156272298575,-0.016500751539999747,J567-S_flow,J567-S,"('Berea', 'Armistead Creek')"
74,0.0003015565574098211,-1.231791728750764e-05,0.0,-0.09251578984662556,2.583231149255738e-05,-0.032706944971929275,-0.12460382654954838,J568-S_flow,J568-S,"('Berea', 'Armistead Creek')"
75,0.0,0.0,0.0,0.0029256271359754393,0.0,-0.015401052521964331,-0.011374027157703859,J571-S_flow,J571-S,"('Berea', 'Armistead Creek')"
76,-0.1199289312739431,-0.4815185859049249,0.0,-2.246752552857134,-0.1596492518795971,-0.5197562124294128,-2.4349032577297924,J576-S_flow,J576-S,"('Dunbar-Broadway', 'Canal Street Creek')"
77,-0.07862378923146895,-0.3446934535241226,0.0,-1.4817266736702095,-0.4552305223956852,-0.4544924495562439,-1.6967712453336143,J578-S_flow,J578-S,"('Dunbar-Broadway', 'Canal Street Creek')"
78,1.0203830855815e-05,-3.3377159978087434e-06,0.0,-0.24730604351264285,-1.9797997536707967e-05,-0.03885947869118378,-0.2815679436271201,J586-S_flow,J586-S,"('Dunbar-Broadway', 'Canal Street Creek')"
79,-0.0004196301283929671,-6.916980138882423e-06,0.0,-5.3030181061064496e-05,7.378112147504723e-05,-0.15057548799929554,-0.15055355095437895,J587-S_flow,J587-S,"('Downtown', 'Southside, Drains to Harbor')"
80,-9.479513246768434e-05,-2.2866544791000365e-06,0.0,0.05374519298223035,4.907556641509103e-06,-0.06501681515603908,-0.012419843709841949,J592-S_flow,J592-S,"('Dunbar-Broadway', 'Canal Street Creek')"
81,0.00021922822410780363,-1.7537949311252632e-05,0.0,0.0013897278835395266,-1.0435370326078441e-05,-0.00026688186857826146,0.0012101713043093376,J5-S_flow,J5-S,"('Canton', 'Northside, Drains to Harbor')"
82,1.6167208927164722e-06,1.572547541073277e-07,0.0,-0.00023342242057822205,2.9252089972509054e-06,-0.12731779396973186,-0.1275743998849883,J609-S_flow,J609-S,"('Dunbar-Broadway', 'Canal Street Creek')"
83,-0.00015843572152807184,-2.6115778282154167e-06,0.0,-2.002209667750776e-05,2.785683015771312e-05,-0.010622477485012993,-0.010613139199705746,J60-S_flow,J60-S,"('Downtown', 'Southside, Drains to Harbor')"
84,-0.00021829446457966029,-3.598260404746867e-06,0.0,-2.7586663106315967e-05,3.8381444322332925e-05,-0.12838997797088503,-0.1283763793835231,J619-S_flow,J619-S,"('Dunbar-Broadway', 'Canal Street Creek')"
85,-0.26238926998563095,-0.5582880808634183,0.0,2.00075973661267,-0.051245999852259416,-0.7805739722113216,1.0597893062201091,J620-S_flow,J620-S,"('Broadway East', 'Harris Creek')"
86,-0.267584377797089,-0.5618078763766903,0.0,2.011869664729451,-0.016972063153678718,-0.7727482188640309,1.0793000015415117,J624-S_flow,J624-S,"('Broadway East', 'Harris Creek')"
87,-9.104313326124824e-05,-1.6107970135514904e-06,0.0,0.00022576784279726425,1.57500093429519e-05,-0.009979023709556056,-0.00973939975435778,J62-S_flow,J62-S,"('Downtown', 'Southside, Drains to Harbor')"
88,-0.00012212230641139854,-2.0130050519817644e-06,0.0,-1.543303872297841e-05,2.147205387403872e-05,-0.06730661301459318,-0.0672978715034116,J632-S_flow,J632-S,"('Eager Park', 'Canal Street Creek')"
89,-0.20826344828094534,-0.6733370836990709,0.0,-2.1380243919682007,-0.3121444230195367,-0.6701450582217623,-2.513209902545202,J637-S_flow,J637-S,"('Eager Park', 'Canal Street Creek')"
90,-0.16400061858988835,-0.6031940075123075,0.0,-2.5935559749299855,-0.24981039130595395,-0.6154513978352742,-2.8621532041339983,J640-S_flow,J640-S,"('Eager Park', 'Canal Street Creek')"
91,-0.0010150331036138383,-1.673131489532409e-05,0.0,-0.00012827341419274774,0.00017846735887694365,-0.1300768462915345,-0.1300140099976117,J659-S_flow,J659-S,"('Baltimore Highlands', 'Harris Creek')"
92,-0.0061849537690976675,-0.024594571890546923,0.0,0.05822937328847999,-0.016321886390808338,-0.08513149599862757,-0.03698696048697858,J672-S_flow,J672-S,"('Canton', 'Harris Creek')"
93,-0.0003602559832058816,-5.93828543760111e-06,0.0,-4.552685502012821e-05,6.334171133337563e-05,-0.00016231313529058156,-0.0001405394220199696,J675-S_flow,J675-S,"('Canton', 'Harris Creek')"
94,0.0006034930786240622,-2.5680556537732713e-05,0.0,-7.447361395840346e-05,7.704166961142178e-05,-0.0007010791934662919,-0.0005136111307448843,J686-S_flow,J686-S,"('Canton', 'Harris Creek')"
95,0.0,0.0,0.0,9.321837923601667e-06,0.0,0.0,1.2966663440801968e-05,J694-S_flow,J694-S,"('Canton', 'Harris Creek')"
96,-0.0021983792764155297,-0.009347119155914463,0.0,-0.43084768869425716,-0.006157810604779712,-0.049916777818151736,-0.47792820976165107,J695-S_flow,J695-S,"('Canton', 'Harris Creek')"
97,0.0007933402700497361,-0.4498511852375344,0.0,-9.79015652400328e-05,0.0001012774812827466,-0.056135027782292735,-0.05588972354739363,J712-S_flow,J712-S,"('Patterson Park', 'Harris Creek')"
98,-0.00023139099803826113,-3.8141373317479577e-06,0.0,-2.9241719532890897e-05,4.068413152102934e-05,-0.001128268054007897,-0.0011143078683426566,J714-S_flow,J714-S,"('Upper Fells Point', 'Northside, Drains to Harbor')"
99,0.0005325483198439507,-0.0001739440164785222,0.0,-0.44602981448213397,-0.00017015407172582542,-0.025638311257116797,-0.46937626954879885,J71-S_flow,J71-S,"('Federal Hill', 'Southside, Drains to Harbor')"
100,1.7170414758016506e-05,-7.306559473008178e-07,0.0,-2.1189022467726915e-06,2.191967841680409e-06,-1.9946907357404342e-05,-1.4613118943129777e-05,J722-S_flow,J722-S,"('Fells Point', 'Northside, Drains to Harbor')"
101,0.0005371090379111543,-2.2855703740720656e-05,0.0,-6.628154084875604e-05,6.856711122238401e-05,-0.02291144512575194,-0.02274648295605708,J72-S_flow,J72-S,"('Federal Hill', 'Southside, Drains to Harbor')"
102,-0.00017804517837527456,-4.047719644351133e-06,0.0,0.0035265454720523337,2.8772836216717224e-05,-0.000982322814822023,0.0025766578641515103,J732-S_flow,J732-S,"('Fells Point', 'Northside, Drains to Harbor')"
103,0.0004186896647595528,-1.781658147903542e-05,0.0,-5.1668086289424764e-05,5.344974443755035e-05,-0.00048639267438010947,-0.00035633162958248477,J733-S_flow,J733-S,"('Canton', 'Northside, Drains to Harbor')"
